FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-06-15,1220,1600.607232706318,380.607232706318,1202.6651844660357,17.334815533964274
2024-06-16,1380,1611.6312102531615,231.6312102531615,1216.6415339572031,163.35846604279686
2024-06-17,1427,1622.6551878000048,195.6551878000048,1230.743516297065,196.25648370293493
2024-06-18,1338,1633.6791653468483,295.6791653468483,1244.9711314856218,93.02886851437825
2024-06-19,1211,1644.7031428936916,433.7031428936916,1259.3243795228732,48.32437952287319
2024-06-20,1266,1655.7271204405351,389.72712044053515,1273.803260408819,7.803260408818915
2024-06-21,1112,1666.7510979873784,554.7510979873784,1288.4077741434594,176.4077741434594
2024-06-22,1285,1677.7750755342217,392.77507553422174,1303.1379207267946,18.13792072679462
2024-06-23,1452,1688.7990530810653,236.79905308106527,1317.9937001588246,134.0062998411754
2024-06-24,1490,1699.8230306279086,209.82303062790857,1332.9751124395493,157.02488756045068
2024-06-25,1196,1710.847008174752,514.8470081747521,1348.0821575689683,152.08215756896834
2024-06-26,1184,1721.8709857215954,537.8709857215954,1363.314835547082,179.3148355470821
2024-06-27,1116,1732.894963268439,616.8949632684389,1378.6731463738906,262.67314637389063
2024-06-28,1164,1743.9189408152822,579.9189408152822,1394.1570900493934,230.15709004939345
2024-06-29,1158,1754.9429183621257,596.9429183621257,1409.7666665735912,251.76666657359124
2024-06-30,1545,1765.966895908969,220.96689590896904,1425.5018759464838,119.49812405351622
2024-07-01,1612,1776.9908734558123,164.99087345581233,1441.3627181680708,170.63728183192916
2024-07-02,1311,1788.0148510026559,477.01485100265586,1457.3491932383522,146.3491932383522
2024-07-03,1308,1799.0388285494992,491.03882854949916,1473.4613011573288,165.46130115732876
2024-07-04,1206,1810.0628060963425,604.0628060963425,1489.6990419249996,283.6990419249996
2024-07-05,1326,1821.086783643186,495.086783643186,1506.062415541365,180.062415541365
2024-07-06,1489,1832.1107611900295,343.1107611900295,1522.5514220064251,33.55142200642513
2024-07-07,1595,1843.134738736873,248.13473873687303,1539.1660613201802,55.83393867981977
2024-07-08,1796,1854.158716283716,58.1587162837161,1555.9063334826296,240.09366651737037
2024-07-09,1451,1865.1826938305596,414.18269383055963,1572.7722384937738,121.77223849377378
2024-07-10,1402,1876.2066713774032,474.20667137740315,1589.7637763536127,187.76377635361268
2024-07-11,1234,1887.2306489242462,653.2306489242462,1606.880947062146,372.8809470621461
2024-07-12,1472,1898.2546264710898,426.25462647108975,1624.1237506193738,152.12375061937382
2024-07-13,1597,1909.2786040179333,312.2786040179333,1641.4921870252965,44.492187025296516
2024-07-14,1788,1920.3025815647768,132.3025815647768,1658.986256279914,129.01374372008604
2024-07-15,2062,1931.3265591116199,130.67344088838013,1676.6059583832262,385.39404161677385
2024-07-16,1690,1942.3505366584634,252.3505366584634,1694.3512933352326,4.35129333523264
2024-07-17,1571,1953.374514205307,382.3745142053069,1712.2222611359339,141.22226113593388
2024-07-18,1532,1964.3984917521504,432.39849175215045,1730.2188617853299,198.21886178532986
2024-07-19,1567,1975.4224692989935,408.4224692989935,1748.3410952834206,181.3410952834206
2024-07-20,1808,1986.446446845837,178.44644684583704,1766.5889616302056,41.41103836979437
2024-07-21,1934,1997.4704243926806,63.47042439268057,1784.9624608256854,149.0375391743146
2024-07-22,2100,2008.4944019395236,91.50559806047636,1803.46159286986,296.53840713014006
2024-07-23,1766,2019.5183794863672,253.51837948636717,1822.0863577627292,56.08635776272922
2024-07-24,1648,2030.5423570332107,382.5423570332107,1840.8367555042928,192.8367555042928
2024-07-25,1536,2041.5663345800542,505.5663345800542,1859.7127860945516,323.7127860945516
2024-07-26,1638,2052.5903121268975,414.5903121268975,1878.7144495335046,240.71444953350465
2024-07-27,1744,2063.614289673741,319.61428967374104,1897.841745821152,153.84174582115202
2024-07-28,2082,2074.6382672205846,7.3617327794154335,1917.0946749574941,164.90532504250586
2024-07-29,2266,2085.662244767427,180.33775523257282,1936.4732369425315,329.52676305746854
2024-07-30,1818,2096.6862223142707,278.6862223142707,1955.977431776263,137.97743177626307
2024-07-31,1671,2107.7101998611142,436.71019986111423,1975.6072594586894,304.60725945868944
2024-08-01,1890,2118.7341774079578,228.73417740795776,1995.36271998981,105.3627199898101
2024-08-02,1996,2129.7581549548013,133.75815495480128,2015.243813369626,19.24381336962597
2024-08-03,1965,2140.782132501645,175.7821325016448,2035.2505395981357,70.25053959813567
2024-08-04,2253,2151.8061100484883,101.19388995151166,2055.3828986753406,197.61710132465942
2024-08-05,2608,2162.830087595332,445.16991240466814,2075.6408906012402,532.3591093987598
2024-08-06,2305,2173.8540651421745,131.14593485782552,2096.024515375834,208.9754846241658
2024-08-07,2035,2184.878042689018,149.878042689018,2116.533772999123,81.5337729991229
2024-08-08,2240,2195.9020202358615,44.09797976413847,2137.1686634711064,102.83133652889364
2024-08-09,2111,2206.925997782705,95.92599778270505,2157.9291867917846,46.92918679178456
